date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:02:06	23548/23548	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Nov%202022%2018:38:45%20GMT	https://marketifythemes.net/html/arlo/index-particle.html	C:/My%20Web%20Sites/jony/marketifythemes.net/html/arlo/index-particle.html	(from )
21:02:07	1144/1144	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Jun%202021%2015:22:04%20GMT	https://marketifythemes.net/robots.txt		(from )
21:02:08	23689/23689	---MCZ	200	added ('OK')	text/css	etag:W/%2262c6-637139b5-14e06f370a713694;gz%22	https://marketifythemes.net/html/arlo/css/colors.css	C:/My%20Web%20Sites/jony/marketifythemes.net/html/arlo/css/colors.css	(from https://marketifythemes.net/html/arlo/index-particle.html)
21:02:08	146014/146014	---MCZ	200	added ('OK')	text/css	etag:W/%222c617-637139b6-15c813bcb6a4487a;gz%22	https://marketifythemes.net/html/arlo/css/plugins.css	C:/My%20Web%20Sites/jony/marketifythemes.net/html/arlo/css/plugins.css	(from https://marketifythemes.net/html/arlo/index-particle.html)
21:02:08	1814/1814	---MCZ	200	added ('OK')	text/css	etag:W/%227cb-637139b5-ff2e8d6555db8e5d;gz%22	https://marketifythemes.net/html/arlo/css/darkMode.css	C:/My%20Web%20Sites/jony/marketifythemes.net/html/arlo/css/darkMode.css	(from https://marketifythemes.net/html/arlo/index-particle.html)
21:02:08	40888/40888	---MCZ	200	added ('OK')	text/css	etag:W/%22d5e4-637139b5-8174ae84e9db211a;gz%22	https://marketifythemes.net/html/arlo/css/style.css	C:/My%20Web%20Sites/jony/marketifythemes.net/html/arlo/css/style.css	(from https://marketifythemes.net/html/arlo/index-particle.html)
21:02:09	2494/2494	---M-Z	200	added ('OK')	image/svg+xml	etag:%229be-637139bf-ceac624726318d76;gz%22	https://marketifythemes.net/html/arlo/img/svg/setting.svg	C:/My%20Web%20Sites/jony/marketifythemes.net/html/arlo/img/svg/setting.svg	(from https://marketifythemes.net/html/arlo/index-particle.html)
21:02:09	646/646	---M-Z	200	added ('OK')	image/svg+xml	etag:%22286-637139bc-b78d3d429f7b814c;gz%22	https://marketifythemes.net/html/arlo/img/svg/arrow.svg	C:/My%20Web%20Sites/jony/marketifythemes.net/html/arlo/img/svg/arrow.svg	(from https://marketifythemes.net/html/arlo/index-particle.html)
21:02:09	1615/1615	---M-Z	200	added ('OK')	image/svg+xml	etag:%2264f-637139bc-2992542be708dcb8;gz%22	https://marketifythemes.net/html/arlo/img/svg/cancel.svg	C:/My%20Web%20Sites/jony/marketifythemes.net/html/arlo/img/svg/cancel.svg	(from https://marketifythemes.net/html/arlo/index-particle.html)
21:02:10	1979/1979	---M--	200	added ('OK')	image/png	etag:%227bb-637139bf-7e17c4b252795138;;;%22	https://marketifythemes.net/html/arlo/img/logo/mobile/dark.png	C:/My%20Web%20Sites/jony/marketifythemes.net/html/arlo/img/logo/mobile/dark.png	(from https://marketifythemes.net/html/arlo/index-particle.html)
21:02:10	2111/2111	---M--	200	added ('OK')	image/png	etag:%2283f-637139bf-e9ae9aba28cf1b5b;;;%22	https://marketifythemes.net/html/arlo/img/logo/classic/light.png	C:/My%20Web%20Sites/jony/marketifythemes.net/html/arlo/img/logo/classic/light.png	(from https://marketifythemes.net/html/arlo/index-particle.html)
21:02:10	1979/1979	---M--	200	added ('OK')	image/png	etag:%227bb-637139bf-a032c05bdbdb7941;;;%22	https://marketifythemes.net/html/arlo/img/logo/classic/dark.png	C:/My%20Web%20Sites/jony/marketifythemes.net/html/arlo/img/logo/classic/dark.png	(from https://marketifythemes.net/html/arlo/index-particle.html)
21:02:10	77479/77479	---M--	200	added ('OK')	image/jpeg	etag:%2212ea7-637139b7-f7091f9683dc03ce;;;%22	https://marketifythemes.net/html/arlo/img/about/1.jpg	C:/My%20Web%20Sites/jony/marketifythemes.net/html/arlo/img/about/1.jpg	(from https://marketifythemes.net/html/arlo/index-particle.html)
21:02:11	346712/346712	---M--	200	added ('OK')	image/jpeg	etag:%2254a58-637139c2-434dd19287c55004;;;%22	https://marketifythemes.net/html/arlo/img/slider/1.jpg	C:/My%20Web%20Sites/jony/marketifythemes.net/html/arlo/img/slider/1.jpg	(from https://marketifythemes.net/html/arlo/index-particle.html)
21:02:11	3280/3280	---M--	200	added ('OK')	image/jpeg	etag:%22cd0-637139ba-a1a0a46f35c2b9da;;;%22	https://marketifythemes.net/html/arlo/img/ratios/550x650.jpg	C:/My%20Web%20Sites/jony/marketifythemes.net/html/arlo/img/ratios/550x650.jpg	(from https://marketifythemes.net/html/arlo/index-particle.html)
21:02:11	1718/1718	---M-Z	200	added ('OK')	image/svg+xml	etag:%226b6-637139be-f1c16b2eeb9ccccb;gz%22	https://marketifythemes.net/html/arlo/img/svg/gift.svg	C:/My%20Web%20Sites/jony/marketifythemes.net/html/arlo/img/svg/gift.svg	(from https://marketifythemes.net/html/arlo/index-particle.html)
21:02:11	2718/2718	---M-Z	200	added ('OK')	image/svg+xml	etag:%22a9e-637139bc-763cb30dff857bd8;gz%22	https://marketifythemes.net/html/arlo/img/svg/calendar-4.svg	C:/My%20Web%20Sites/jony/marketifythemes.net/html/arlo/img/svg/calendar-4.svg	(from https://marketifythemes.net/html/arlo/index-particle.html)
21:02:12	912/912	---M-Z	200	added ('OK')	image/svg+xml	etag:%22390-637139be-cd61b123c9b35b64;gz%22	https://marketifythemes.net/html/arlo/img/svg/location-1.svg	C:/My%20Web%20Sites/jony/marketifythemes.net/html/arlo/img/svg/location-1.svg	(from https://marketifythemes.net/html/arlo/index-particle.html)
21:02:12	1823/1823	---M-Z	200	added ('OK')	image/svg+xml	etag:%2271f-637139be-d22fe059f0757c78;gz%22	https://marketifythemes.net/html/arlo/img/svg/game-controller-2.svg	C:/My%20Web%20Sites/jony/marketifythemes.net/html/arlo/img/svg/game-controller-2.svg	(from https://marketifythemes.net/html/arlo/index-particle.html)
21:02:13	1700/1700	---M-Z	200	added ('OK')	image/svg+xml	etag:%226a4-637139bf-1c9b778f2199d1c2;gz%22	https://marketifythemes.net/html/arlo/img/svg/study-5.svg	C:/My%20Web%20Sites/jony/marketifythemes.net/html/arlo/img/svg/study-5.svg	(from https://marketifythemes.net/html/arlo/index-particle.html)
21:02:13	1208/1208	---M-Z	200	added ('OK')	image/svg+xml	etag:%224b8-637139bc-5fdab8278a492daa;gz%22	https://marketifythemes.net/html/arlo/img/svg/degree-1.svg	C:/My%20Web%20Sites/jony/marketifythemes.net/html/arlo/img/svg/degree-1.svg	(from https://marketifythemes.net/html/arlo/index-particle.html)
21:02:14	2543/2543	---M-Z	200	added ('OK')	image/svg+xml	etag:%229ef-637139be-3d6e5a9fe05c1ff2;gz%22	https://marketifythemes.net/html/arlo/img/svg/message-3.svg	C:/My%20Web%20Sites/jony/marketifythemes.net/html/arlo/img/svg/message-3.svg	(from https://marketifythemes.net/html/arlo/index-particle.html)
21:02:15	1476/1476	---M-Z	200	added ('OK')	image/svg+xml	etag:%225c4-637139bc-3f4980d491e7c9b9;gz%22	https://marketifythemes.net/html/arlo/img/svg/call-2.svg	C:/My%20Web%20Sites/jony/marketifythemes.net/html/arlo/img/svg/call-2.svg	(from https://marketifythemes.net/html/arlo/index-particle.html)
21:02:16	77229/77229	---M--	200	added ('OK')	image/jpeg	etag:%2212dad-637139ba-552cda117fff0746;;;%22	https://marketifythemes.net/html/arlo/img/resume/resume.jpg	C:/My%20Web%20Sites/jony/marketifythemes.net/html/arlo/img/resume/resume.jpg	(from https://marketifythemes.net/html/arlo/index-particle.html)
21:02:16	1930/1930	---M-Z	200	added ('OK')	image/svg+xml	etag:%2278a-637139bc-dc0becef1429496c;gz%22	https://marketifythemes.net/html/arlo/img/svg/creativity.svg	C:/My%20Web%20Sites/jony/marketifythemes.net/html/arlo/img/svg/creativity.svg	(from https://marketifythemes.net/html/arlo/index-particle.html)
21:02:16	1273/1273	---M-Z	200	added ('OK')	image/svg+xml	etag:%224f9-637139bc-739ace334d710d3e;gz%22	https://marketifythemes.net/html/arlo/img/svg/code.svg	C:/My%20Web%20Sites/jony/marketifythemes.net/html/arlo/img/svg/code.svg	(from https://marketifythemes.net/html/arlo/index-particle.html)
21:02:17	482/482	---M-Z	200	added ('OK')	image/svg+xml	etag:%221e2-637139bf-380d2c31a883dff0;gz%22	https://marketifythemes.net/html/arlo/img/svg/telegram.svg	C:/My%20Web%20Sites/jony/marketifythemes.net/html/arlo/img/svg/telegram.svg	(from https://marketifythemes.net/html/arlo/index-particle.html)
21:02:17	1387/1387	---M-Z	200	added ('OK')	image/svg+xml	etag:%2256b-637139be-817ff6e6955c1010;gz%22	https://marketifythemes.net/html/arlo/img/svg/photoshop.svg	C:/My%20Web%20Sites/jony/marketifythemes.net/html/arlo/img/svg/photoshop.svg	(from https://marketifythemes.net/html/arlo/index-particle.html)
21:02:17	963/963	---M-Z	200	added ('OK')	image/svg+xml	etag:%223c3-637139bb-bd85fc7572de82ce;gz%22	https://marketifythemes.net/html/arlo/img/svg/ai.svg	C:/My%20Web%20Sites/jony/marketifythemes.net/html/arlo/img/svg/ai.svg	(from https://marketifythemes.net/html/arlo/index-particle.html)
21:02:18	1460/1460	---M-Z	200	added ('OK')	image/svg+xml	etag:%225b4-637139bf-6aa5803aa4d46a75;gz%22	https://marketifythemes.net/html/arlo/img/svg/share.svg	C:/My%20Web%20Sites/jony/marketifythemes.net/html/arlo/img/svg/share.svg	(from https://marketifythemes.net/html/arlo/index-particle.html)
21:02:18	21591/21591	---M--	200	added ('OK')	image/jpeg	etag:%225457-637139b9-4a14ee19ac2d8748;;;%22	https://marketifythemes.net/html/arlo/img/portfolio/1.jpg	C:/My%20Web%20Sites/jony/marketifythemes.net/html/arlo/img/portfolio/1.jpg	(from https://marketifythemes.net/html/arlo/index-particle.html)
21:02:18	1127/1127	---M--	200	added ('OK')	image/jpeg	etag:%22467-637139ba-46a0b47d37799287;;;%22	https://marketifythemes.net/html/arlo/img/ratios/ratio-1-1.jpg	C:/My%20Web%20Sites/jony/marketifythemes.net/html/arlo/img/ratios/ratio-1-1.jpg	(from https://marketifythemes.net/html/arlo/index-particle.html)
21:02:18	49127/49127	---M--	200	added ('OK')	image/jpeg	etag:%22bfe7-637139b9-26e05f21c1bfa858;;;%22	https://marketifythemes.net/html/arlo/img/portfolio/2.jpg	C:/My%20Web%20Sites/jony/marketifythemes.net/html/arlo/img/portfolio/2.jpg	(from https://marketifythemes.net/html/arlo/index-particle.html)
21:02:19	33426/33426	---M--	200	added ('OK')	image/jpeg	etag:%228292-637139b9-3143b6fe25a4725;;;%22	https://marketifythemes.net/html/arlo/img/portfolio/4.jpg	C:/My%20Web%20Sites/jony/marketifythemes.net/html/arlo/img/portfolio/4.jpg	(from https://marketifythemes.net/html/arlo/index-particle.html)
21:02:19	75379/75379	---M--	200	added ('OK')	image/jpeg	etag:%2212673-637139bb-6713c0e9011932bb;;;%22	https://marketifythemes.net/html/arlo/img/portfolio/5.jpg	C:/My%20Web%20Sites/jony/marketifythemes.net/html/arlo/img/portfolio/5.jpg	(from https://marketifythemes.net/html/arlo/index-particle.html)
21:02:19	34555/34555	---M--	200	added ('OK')	image/jpeg	etag:%2286fb-637139b9-ccc265d6f2f93a47;;;%22	https://marketifythemes.net/html/arlo/img/portfolio/3.jpg	C:/My%20Web%20Sites/jony/marketifythemes.net/html/arlo/img/portfolio/3.jpg	(from https://marketifythemes.net/html/arlo/index-particle.html)
21:02:20	1127/1127	---M--	200	added ('OK')	image/jpeg	etag:%22467-637139ba-99d43a0e96fed8ac;;;%22	https://marketifythemes.net/html/arlo/img/ratios/ratio-4-3.jpg	C:/My%20Web%20Sites/jony/marketifythemes.net/html/arlo/img/ratios/ratio-4-3.jpg	(from https://marketifythemes.net/html/arlo/index-particle.html)
